"SubscriptionName","ResourceGroup","Name","Type","TagsFaltando","TagsPresentes"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envisionpr-d56aea02137c41efae5c0a1a571542a6-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050prd-d786af9f6f5e481db3da8bc7754e2adb-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","lideranc-prd-mysql","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd-1b9c8e007c6f601659729efd-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd-f33a0745795144179eba973158d0ee3c-dbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan-1ada35a364-wpdbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-wpdbserver","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","siail-prd-v3-mysql","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","siail-prd-v3-mysql-server","microsoft.dbformysql/flexibleservers","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresigh-pg","microsoft.dbforpostgresql/flexibleservers","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","pla-we-vdws-001","microsoft.desktopvirtualization/workspaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","pla-we-vdws-002","microsoft.desktopvirtualization/workspaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-shared-mgmt-rg001","shutdown-computevm-vm-prd-mgmt001","microsoft.devtestlab/schedules","departamento, ambiente, projeto, centrocusto","environment"
"PlanApp-prd-sub001","pla-we-i4ia-rg001","cosmos-i4ia-we-0001","microsoft.documentdb/databaseaccounts","departamento, ambiente, projeto, centrocusto","subscription, hidden-cosmos-mmspecial, defaultexperience"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finopshubcmf5jvnhltgzq-a63805d5-f748-4cbe-afe9-59392147c7b7","microsoft.eventgrid/systemtopics","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","Application Insights Smart Detection","microsoft.insights/actiongroups","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-we-nprd-ml-001","mldev0016838627155","microsoft.insights/components","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","defaultresourcegroup-neu","ct-dcr238681104","microsoft.insights/datacollectionrules","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finops-hub-cmf5jvnhltgzq","microsoft.keyvault/vaults","departamento, ambiente, projeto, centrocusto","environment, cm-resource-parent, application, subscription, ftk-version, ftk-tool"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresigh-kv","microsoft.keyvault/vaults","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-nprd-ml-001","mldev0018163403939","microsoft.keyvault/vaults","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-netsec-rg001","pla-we-prd-netsec-kv001","microsoft.keyvault/vaults","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, scope"
"PlanApp-prd-sub001","pla-we-nprd-ml-001","ml-dev-001","microsoft.machinelearningservices/workspaces","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","azmi-appip-prd","microsoft.managedidentity/userassignedidentities","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-data-dbw-rg002","dbmanagedidentity","microsoft.managedidentity/userassignedidentities","departamento, ambiente, projeto, centrocusto","application, databricks-environment, subscription"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finops-hub-engine-cmf5jvnhltgzq_triggerManager","microsoft.managedidentity/userassignedidentities","departamento, ambiente, projeto, centrocusto","environment, cm-resource-parent, application, subscription, ftk-version, ftk-tool"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finopshubcmf5jvnhltgzq_blobManager","microsoft.managedidentity/userassignedidentities","departamento, ambiente, projeto, centrocusto","environment, cm-resource-parent, application, subscription, ftk-version, ftk-tool"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan-1ada35a364-wpidentity","microsoft.managedidentity/userassignedidentities","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
