"SubscriptionName","ResourceGroup","Name","Type","PrefixEsperado","Problema"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","pla-we-prd-data-sqldb-stg-002-DEV","microsoft.sql/servers/databases","sqldb","Nome não segue padrão v2.0: esperado 'sqldb-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoesp945b34c014","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050p9483d39114","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-data-dbw-rg002","dbstoragendz4xsekakfpy","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envisionpr3a832e40d1","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-finopshub-rg001","finopshubcmf5jvnhltgzq","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","foresighstgprd","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050prd30be006671","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","n8nforesightst001","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd53678aaf27","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd5841f549e7","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","planeprddezmfutsa001","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","plawenprddatasa001","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-data-sphere-rg001","plaweprddataspheresa001","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-shared-prd-rg001","plaweprdfssa001","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-shared-mgmt-rg001","plaweprdlogssa001","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan1ada35a364","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-we-prd-foresigh-rg001","preenchimentoparecer","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustentafcfca31c83","microsoft.storage/storageaccounts","sa","Storage Account deve começar por 'st' sem hífens (máx 24 chars)"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoes-prd-v2","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050-prd-v2","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","congressodofuturo-prd-v2","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envision-prd-v2","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050-prd-v2","microsoft.web/sites","app","Nome não segue padrão v2.0: esperado 'app-[workload]-[ambiente]-[regiao]-NNN'"
